iter	RMSE
0	0.392610415
1	0.3818144135
2	0.372356366
3	0.3643269659
4	0.3569739692
5	0.3506626182
6	0.3445989196
7	0.3393616594
8	0.3348510184
9	0.3311377239
10	0.3271846541
11	0.3237420294
12	0.3210031425
13	0.3182424949
14	0.3156928837
15	0.3136483751
16	0.3119625316
17	0.3101130186
18	0.3087105533
19	0.3071812662
20	0.30579439
21	0.3046249689
22	0.3034493222
23	0.3024061337
24	0.3014717789
25	0.3007722366
26	0.2999240981
27	0.2991923118
28	0.2982281529
29	0.2976162276
30	0.2969868053
31	0.2963672324
32	0.2958083755
33	0.2952250517
34	0.2947467051
35	0.2943367276
36	0.2938282458
37	0.2933251817
38	0.2928189857
39	0.292223432
40	0.2917489894
41	0.2911989892
42	0.2908795552
43	0.2903444702
44	0.2899047756
45	0.2895745242
46	0.2892556692
47	0.2888115834
48	0.2884440033
49	0.2882767438
50	0.2880089968
51	0.2877972005
52	0.2875279726
53	0.2871241119
54	0.2868992132
55	0.2866486528
56	0.2863366358
57	0.2860866046
58	0.2858551609
59	0.2856859905
60	0.285520628
61	0.2853401454
62	0.2851279966
63	0.2848199566
64	0.2846332638
65	0.2843904012
66	0.2841931777
67	0.2838622961
68	0.2836325007
69	0.2833801835
70	0.2832103703
71	0.282927655
72	0.2827416733
73	0.2826001849
74	0.2824395388
75	0.2821372349
76	0.2819678217
77	0.281814386
78	0.2816429901
79	0.2815094852
80	0.2814172338
81	0.2813292585
82	0.2811680603
83	0.281020414
84	0.280892647
85	0.280743645
86	0.2805032453
87	0.2803365923
88	0.2801845239
89	0.2799771238
90	0.2797874726
91	0.2795717743
92	0.2794621144
93	0.2793354912
94	0.2791945967
95	0.279097261
96	0.2789592082
97	0.2788080131
98	0.2787215651
99	0.2785838456
100	0.27851114
101	0.278276808
102	0.2781172938
103	0.2780305031
104	0.2776651562
105	0.2775469129
106	0.2773915994
107	0.277321735
108	0.2772214796
109	0.2770885939
110	0.2769113744
111	0.2767936705
112	0.2765904532
113	0.2764568748
114	0.2763479248
115	0.2762507069
116	0.276133069
117	0.2759881255
118	0.2759057614
119	0.275719284
120	0.2754794112
121	0.2752453978
122	0.2751297971
123	0.275038844
124	0.2748425567
125	0.2747233426
126	0.2745863681
127	0.2745134109
128	0.274386557
129	0.27427499
130	0.2741205655
131	0.2739411614
132	0.2737793503
133	0.273711569
134	0.2735511975
135	0.2734139434
136	0.2732817494
137	0.2732222383
138	0.2731577281
139	0.272946579
140	0.2728076987
141	0.2727130356
142	0.2725623027
143	0.2724733264
144	0.2722900246
145	0.2721435785
146	0.2718992618
147	0.2717605525
148	0.2716765462
149	0.2714680037
150	0.2713229072
151	0.2712282751
152	0.2710509633
153	0.2708801893
154	0.2708019051
155	0.2706433575
156	0.2705124078
157	0.2703406763
158	0.2702725368
159	0.2701641234
160	0.2700916715
161	0.2699999867
162	0.2698781599
163	0.2697226868
164	0.2696241088
165	0.2694864997
166	0.2694380621
167	0.2693561445
168	0.2692356144
169	0.2690960132
170	0.268849899
171	0.2687477394
172	0.2686534348
173	0.2685451638
174	0.2684031849
175	0.2683229652
176	0.2681675222
177	0.2680703273
178	0.2679649148
179	0.2678539508
180	0.2677478101
181	0.2675996461
182	0.267512505
183	0.2674390924
184	0.2672239823
185	0.2670971747
186	0.2669825241
187	0.2668826625
188	0.2667757233
189	0.2666875463
190	0.2665938759
191	0.2664894948
192	0.2662730213
193	0.2661541843
194	0.2660745299
195	0.2660109248
196	0.2659329081
197	0.265734253
198	0.2656261709
199	0.2654210825
200	0.2652926369
201	0.2652170982
202	0.2651548998
203	0.265012704
204	0.2649396065
205	0.2648584958
206	0.264731037
207	0.2646621068
208	0.264584735
209	0.2644719165
210	0.2642928492
211	0.2641881808
212	0.2641031606
213	0.2640457251
214	0.2639238119
215	0.2638585278
216	0.2638052411
217	0.2636591138
218	0.2635835289
219	0.2634274646
220	0.2632670969
221	0.2631477253
222	0.2630437192
223	0.262962395
224	0.262839047
225	0.2627729142
226	0.2626758949
227	0.2625827765
228	0.2624335108
229	0.2623345363
230	0.2622269351
231	0.2621108684
232	0.2620137533
233	0.2618963494
234	0.2618249511
235	0.2617621821
236	0.2616837019
237	0.2616157329
238	0.2614338982
239	0.261319026
240	0.2612245246
241	0.2611558098
242	0.261072524
243	0.261002001
244	0.2609427454
245	0.2608934154
246	0.2606755655
247	0.2606296732
248	0.2605145204
249	0.2603440814
250	0.2601221588
251	0.2600431463
252	0.2599408226
253	0.2598520546
254	0.2597912734
255	0.2596858559
256	0.2595905674
257	0.2594751838
258	0.2593938489
259	0.2593129209
260	0.2592420262
261	0.2591867786
262	0.2591334017
263	0.2590296314
264	0.2590162048
265	0.25894546
266	0.2588469478
267	0.2587501295
268	0.2586387152
269	0.2585690624
270	0.258480863
271	0.2583733307
272	0.2582602626
273	0.2582395694
274	0.2581797685
275	0.2580126565
276	0.257957239
277	0.2579022202
278	0.2577987276
279	0.2577203981
280	0.2576776851
281	0.2575708187
282	0.2574686224
283	0.2574035103
284	0.2573104774
285	0.2572218283
286	0.2571357549
287	0.2571018388
288	0.256991545
289	0.2569395884
290	0.2568469344
291	0.2567860712
292	0.2566964451
293	0.2565659684
294	0.2564173784
295	0.2563410923
296	0.2563008228
297	0.2561935574
298	0.2561121736
299	0.2558934093
300	0.2558266661
301	0.2557775354
302	0.2556480267
303	0.255614784
304	0.255530087
305	0.2554525352
306	0.2554051457
